"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"226","Unincorporated - Agua Dulce",15,361,430,0,0,0,4158
"227","Unincorporated - Altadena",330,757,768,11,25,20,43620
"228","Unincorporated - Anaverde",5,332,429,0,0,0,1508
"229","Unincorporated - Angeles National Forest",3,241,215,0,0,0,1245
"230","Unincorporated - Arcadia",48,601,628,0,0,0,7981
"231","Unincorporated - Athens Village",109,2226,2243,5,102,102,4897
"232","Unincorporated - Athens-Westmont",772,1819,1821,12,28,30,42442
"233","Unincorporated - Avocado Heights",116,1712,1698,1,15,14,6775
"234","Unincorporated - Azusa",248,1558,1502,2,13,17,15923
"235","Unincorporated - Bassett",367,2477,2437,7,47,47,14817
"236","Unincorporated - Bouquet Canyon",1,93,82,1,93,82,1073
"237","Unincorporated - Bradbury",3,2778,287,0,0,0,108
